User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Chennai,Tamil Nadu,25300,20872,20843,82.4%
Coimbatore,Tamil Nadu,7812,6207,6200,79.4%
Cuddalore,Tamil Nadu,7489,6293,5841,78.0%
Dharmapuri,Tamil Nadu,841,598,598,71.1%
Dindigul,Tamil Nadu,810,562,560,69.1%
Erode,Tamil Nadu,1302,1009,1007,77.3%
Kanniyakumari,Tamil Nadu,2762,2337,2336,84.6%
Karur,Tamil Nadu,1825,1606,1602,87.8%
Krishnagiri,Tamil Nadu,4330,3145,3135,72.4%
Madurai,Tamil Nadu,3918,3285,3284,83.8%
Mayiladuthurai,Tamil Nadu,27,16,16,59.3%
Nagapattinam,Tamil Nadu,313,198,197,62.9%
Namakkal,Tamil Nadu,537,352,352,65.5%
Perambalur,Tamil Nadu,177,128,128,72.3%
Pudukkottai,Tamil Nadu,234,120,117,50.0%
Ramanathapuram,Tamil Nadu,804,637,636,79.1%
Salem,Tamil Nadu,1147,764,762,66.4%
Tenkasi,Tamil Nadu,49,23,23,46.9%
Thanjavur,Tamil Nadu,1387,1041,1035,74.6%
Theni,Tamil Nadu,1058,884,883,83.5%
Thoothukkudi,Tamil Nadu,2245,2034,2034,90.6%
Tiruchirappalli,Tamil Nadu,3252,2654,2650,81.5%
Tirunelveli,Tamil Nadu,1891,1637,1635,86.5%
Tiruppur,Tamil Nadu,1609,1153,1148,71.3%
Tiruvannamalai,Tamil Nadu,408,255,255,62.5%
Vellore,Tamil Nadu,4004,3421,3417,85.3%
Virudhunagar,Tamil Nadu,3068,2515,2501,81.5%
Kallakurichi,Tamilnadu,50,16,16,32.0%
Kanchipuram,Tamilnadu,1879,1474,1470,78.2%
Nilgiris,Tamilnadu,4675,4188,4184,89.5%
Ranipet,Tamilnadu,526,449,449,85.4%
Sivagangai,Tamilnadu,845,702,701,83.0%
Tirupattur,Tamilnadu,69,45,44,63.8%
Tiruvallur,Tamilnadu,6441,5490,5467,84.9%
Tiruvarur,Tamilnadu,318,234,234,73.6%
Villupuram,Tamilnadu,596,382,380,63.8%
Bhadradri,Telangana,1478,1307,1301,88.0%
Jayashankar,Telangana,6,2,2,33.3%
Jogulamba,Telangana,9,2,2,22.2%
Komaram Bheem,Telangana,146,131,130,89.0%
Mahabubabad,Telangana,96,73,72,75.0%
Mahabubnagar,Telangana,276,221,221,80.1%
Medchal-Malkajgiri,Telangana,10775,9263,9252,85.9%
Mulugu,Telangana,1,0,0,0.0%
Peddapalli,Telangana,254,226,226,89.0%
Rajanna,Telangana,264,244,243,92.0%
Rangareddy,Telangana,6412,5108,5093,79.4%
Vikarabad,Telangana,10,6,6,60.0%
Wanaparthy,Telangana,21,18,18,85.7%
Warangal Rural,Telangana,128,108,108,84.4%
Warangal Urban,Telangana,623,545,545,87.5%
Yadadri,Telangana,146,134,134,91.8%
Dhalai,Tripura,585,348,347,59.3%
Gomati,Tripura,642,342,342,53.3%
Khowai,Tripura,1164,740,739,63.5%
North Tripura,Tripura,1327,859,855,64.4%
Sepahijala,Tripura,793,346,341,43.0%
South Tripura,Tripura,829,525,525,63.3%
Unakoti,Tripura,696,488,488,70.1%
West Tripura,Tripura,4334,3469,3465,79.9%
Agra,Uttar Pradesh,13624,10527,10519,77.2%
Aligarh,Uttar Pradesh,6459,3843,3840,59.5%
Ambedkar Nagar,Uttar Pradesh,4442,2549,2549,57.4%
Amethi,Uttar Pradesh,4005,2560,2553,63.7%
Amroha,Uttar Pradesh,3967,2526,2526,63.7%
Auraiya,Uttar Pradesh,3983,2501,2499,62.7%
Ayodhaya,Uttar Pradesh,4546,2671,2662,58.6%
Azamgarh,Uttar Pradesh,10319,6079,6075,58.9%
Badhaun,Uttar Pradesh,4335,2538,2533,58.4%
Baghpat,Uttar Pradesh,2581,1907,1907,73.9%
Ballia,Uttar Pradesh,8298,5499,5496,66.2%
Balrampur,Uttar Pradesh,5136,2707,2704,52.6%
Banda,Uttar Pradesh,3431,1728,1721,50.2%
Barabanki,Uttar Pradesh,7166,4309,4306,60.1%
Bareilly,Uttar Pradesh,12857,9215,9207,71.6%
Basti,Uttar Pradesh,6386,4313,4311,67.5%
Behraich,Uttar Pradesh,5418,2883,2881,53.2%
Bijnor,Uttar Pradesh,7614,5135,5126,67.3%
Bulandshahar,Uttar Pradesh,7852,5026,5017,63.9%
Chandauli,Uttar Pradesh,7376,5414,5410,73.3%
Chitrakoot,Uttar Pradesh,3290,1931,1932,58.7%
Deoria,Uttar Pradesh,7267,4798,4798,66.0%
Etah,Uttar Pradesh,3514,2213,2212,62.9%
Etawah,Uttar Pradesh,4733,2897,2894,61.1%
Farrukhabad,Uttar Pradesh,9110,4806,4799,52.7%
Fatehpur,Uttar Pradesh,5419,3078,3075,56.7%
Firozabad,Uttar Pradesh,5966,3512,3496,58.6%
Gautam Budh Nagar,Uttar Pradesh,10969,8641,8631,78.7%
Ghaziabad,Uttar Pradesh,17914,14932,14923,83.3%
Ghazipur,Uttar Pradesh,7275,4623,4619,63.5%
Gonda,Uttar Pradesh,5226,2979,2976,56.9%
Gorakhpur,Uttar Pradesh,14231,11046,11040,77.6%
Hapur,Uttar Pradesh,3000,2133,2132,71.1%
Hardoi,Uttar Pradesh,6782,3841,3838,56.6%
Hathras,Uttar Pradesh,2592,1480,1481,57.1%
Jalaun,Uttar Pradesh,2866,1807,1806,63.0%
Jaunpur,Uttar Pradesh,10758,6130,6128,57.0%
Jhansi,Uttar Pradesh,9438,7387,7385,78.2%
Kannauj,Uttar Pradesh,4032,2350,2350,58.3%
Kanpur Dehat,Uttar Pradesh,4618,2725,2725,59.0%
Kanpur Nagar,Uttar Pradesh,26205,21404,21389,81.6%
Kasganj,Uttar Pradesh,2311,1174,1164,50.4%
Kaushambi,Uttar Pradesh,2982,1573,1572,52.7%
Kushinagar,Uttar Pradesh,5678,3824,3820,67.3%
Lakhimpur Kheri,Uttar Pradesh,9449,6008,5998,63.5%
Lalitpur,Uttar Pradesh,4494,3118,3118,69.4%
Lucknow,Uttar Pradesh,48861,41531,41510,85.0%
Maharajganj,Uttar Pradesh,4715,3012,3009,63.8%
Mahoba,Uttar Pradesh,2560,1625,1622,63.4%
Mainpuri,Uttar Pradesh,4406,2645,2644,60.0%
Mathura,Uttar Pradesh,7242,5300,5298,73.2%
Mau,Uttar Pradesh,5039,3098,3094,61.4%
Meerut,Uttar Pradesh,11422,9119,9112,79.8%
Mirzapur,Uttar Pradesh,5370,3445,3441,64.1%
Moradabad,Uttar Pradesh,6137,4154,4148,67.6%
Muzaffarnagar,Uttar Pradesh,4272,2914,2910,68.1%
Pilibhit,Uttar Pradesh,2963,1676,1672,56.4%
Pratapgarh,Uttar Pradesh,8068,4610,4607,57.1%
Prayagraj(Allahabad),Uttar Pradesh,27570,21333,21313,77.3%
Raebareli,Uttar Pradesh,7876,5250,5241,66.5%
Rampur,Uttar Pradesh,5296,3539,3536,66.8%
Saharanpur,Uttar Pradesh,6040,3857,3855,63.8%
Sambhal,Uttar Pradesh,2303,1241,1240,53.8%
Sant Kabir Nagar,Uttar Pradesh,2488,1441,1441,57.9%
Sant Ravidas Nagar,Uttar Pradesh,3591,2321,2317,64.5%
Shahjahanpur,Uttar Pradesh,8305,5592,5588,67.3%
Shamli,Uttar Pradesh,2176,1575,1574,72.3%
Shravasti,Uttar Pradesh,2009,1147,1147,57.1%
Sidharthnagar,Uttar Pradesh,5416,3571,3571,65.9%
Sitapur,Uttar Pradesh,8768,5309,5303,60.5%
Sonbhadra,Uttar Pradesh,5681,3657,3650,64.2%
Sultanpur,Uttar Pradesh,5866,3594,3592,61.2%
Unnao,Uttar Pradesh,6817,4154,4150,60.9%
Varanasi,Uttar Pradesh,13258,10055,10039,75.7%
Almora,Uttaranchal,1718,1528,1526,88.8%
Bageshwar,Uttaranchal,988,908,908,91.9%
Chamoli,Uttaranchal,2308,2064,2064,89.4%
Champawat,Uttaranchal,1870,1660,1659,88.7%
Dehradun,Uttaranchal,31165,27658,27630,88.7%
Garhwal,Uttaranchal,4285,3588,3583,83.6%
Hardwar,Uttaranchal,6937,5885,5862,84.5%
Nainital,Uttaranchal,5371,4536,4533,84.4%
Pithoragarh,Uttaranchal,1945,1708,1708,87.8%
Rudraprayag,Uttaranchal,980,877,877,89.5%
Tehri Garhwal,Uttaranchal,3705,3366,3366,90.9%
Udham Singh Nagar,Uttaranchal,3433,2767,2766,80.6%
Uttarkashi,Uttaranchal,1708,1492,1491,87.3%
Alipurduar,West Bengal,3736,3299,3293,88.1%
Bankura,West Bengal,1008,843,843,83.6%
Birbhum,West Bengal,2335,2143,2139,91.6%
Dakshin Dinajpur,West Bengal,1456,1337,1337,91.8%
Darjiling,West Bengal,17672,15965,15964,90.3%
Howrah,West Bengal,8717,8024,8022,92.0%
Hugli,West Bengal,12311,11391,11388,92.5%
Jalpaiguri,West Bengal,4986,4384,4383,87.9%
Jhargram,West Bengal,51,38,38,74.5%
Kalimpong,West Bengal,5582,5206,5205,93.2%
Koch Bihar,West Bengal,1991,1816,1813,91.1%
Kolkata,West Bengal,69274,63932,63925,92.3%
Maldah,West Bengal,2410,2208,2208,91.6%
Murshidabad,West Bengal,2976,2772,2772,93.1%
Nadia,West Bengal,3593,3238,3237,90.1%
North Twenty Four Pargana,West Bengal,24589,22624,22618,92.0%
Paschim Burdwan (West Bardhaman),West Bengal,9431,8523,8517,90.3%
Paschim Medinipur,#N/A,6893,6171,6171,89.5%
Purba Burdwan (East Bardhaman),#N/A,13450,12119,12117,90.1%
Purba Medinipur,#N/A,3479,3139,3138,90.2%
Puruliya,#N/A,3621,3261,3259,90.0%
South Twenty Four Pargan,#N/A,5416,4895,4893,90.3%
Uttar Dinajpur,#N/A,1373,1125,1124,81.9%
unknown,#N/A,1542,825,823,53.4%
