User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Ganganagar,Rajasthan,63584,52573,45713,71.9%
Hanumangarh,Rajasthan,49773,40380,35300,70.9%
Jaipur,Rajasthan,159605,130259,111047,69.6%
Jaisalmer,Rajasthan,19028,14073,11443,60.1%
Jalor,Rajasthan,36864,26908,20463,55.5%
Jhalawar,Rajasthan,37679,28026,21410,56.8%
Jhunjhunu,Rajasthan,70355,59920,54652,77.7%
Jodhpur,Rajasthan,90870,71342,58501,64.4%
Karauli,Rajasthan,41111,33508,28661,69.7%
Kota,Rajasthan,46264,36883,29956,64.8%
Nagaur,Rajasthan,96734,77905,66928,69.2%
Pali,Rajasthan,63169,50216,40775,64.5%
Rajsamand,Rajasthan,39863,31304,24853,62.3%
Ramgarh,Rajasthan,11222,7946,6296,56.1%
Sawai Madhopur,Rajasthan,41337,34429,29397,71.1%
Sikar,Rajasthan,84079,69409,59963,71.3%
Sirohi,Rajasthan,27140,21293,16680,61.5%
Tonk,Rajasthan,45640,36729,30627,67.1%
Udaipur,Rajasthan,76144,56967,43665,57.3%
East Sikkim,Sikkim,37700,28894,26117,69.3%
North Sikkim,Sikkim,6518,5036,4630,71.0%
South Sikkim,Sikkim,21630,16410,15104,69.8%
West Sikkim,Sikkim,19731,13678,12091,61.3%
Ariyalur,Tamil Nadu,15,5,3,20.0%
Chengalpattu,Tamil Nadu,1844,1441,1121,60.8%
Chennai,Tamil Nadu,12801,8913,6646,51.9%
Coimbatore,Tamil Nadu,3777,2587,1901,50.3%
Cuddalore,Tamil Nadu,367,263,180,49.0%
Dharmapuri,Tamil Nadu,190,139,122,64.2%
Dindigul,Tamil Nadu,398,250,164,41.2%
Erode,Tamil Nadu,375,255,53,14.1%
Kanniyakumari,Tamil Nadu,1627,971,652,40.1%
Karur,Tamil Nadu,144,67,14,9.7%
Krishnagiri,Tamil Nadu,1065,644,245,23.0%
Madurai,Tamil Nadu,1184,808,705,59.5%
Mayiladuthurai,Tamil Nadu,8,4,3,37.5%
Nagapattinam,Tamil Nadu,25,6,2,8.0%
Namakkal,Tamil Nadu,286,177,53,18.5%
Perambalur,Tamil Nadu,46,39,30,65.2%
Pudukkottai,Tamil Nadu,133,85,49,36.8%
Ramanathapuram,Tamil Nadu,492,377,295,60.0%
Salem,Tamil Nadu,934,594,365,39.1%
Tenkasi,Tamil Nadu,58,35,21,36.2%
Thanjavur,Tamil Nadu,859,665,533,62.0%
Theni,Tamil Nadu,342,224,24,7.0%
Thoothukkudi,Tamil Nadu,909,714,522,57.4%
Tiruchirappalli,Tamil Nadu,1315,944,699,53.2%
Tirunelveli,Tamil Nadu,963,654,481,49.9%
Tiruppur,Tamil Nadu,863,642,509,59.0%
Tiruvannamalai,Tamil Nadu,193,129,93,48.2%
Vellore,Tamil Nadu,895,660,484,54.1%
Virudhunagar,Tamil Nadu,1136,722,375,33.0%
Kallakurichi,Tamilnadu,48,14,6,12.5%
Kanchipuram,Tamilnadu,550,367,203,36.9%
Nilgiris,Tamilnadu,1109,765,544,49.1%
Ranipet,Tamilnadu,306,208,144,47.1%
Sivagangai,Tamilnadu,405,333,263,64.9%
Tirupattur,Tamilnadu,21,13,9,42.9%
Tiruvallur,Tamilnadu,3547,2890,2471,69.7%
Tiruvarur,Tamilnadu,113,58,50,44.2%
Villupuram,Tamilnadu,202,96,20,9.9%
Adilabad,Telangana,26311,20979,19610,74.5%
Bhadradri,Telangana,34872,27392,25698,73.7%
Hyderabad,Telangana,48513,36528,32935,67.9%
Jagtial,Telangana,29610,24135,23110,78.0%
Jangaon,Telangana,22154,18312,17625,79.6%
Jayashankar,Telangana,12559,10091,9639,76.7%
Jogulamba,Telangana,16097,13351,12808,79.6%
Kamareddy,Telangana,33554,26869,25393,75.7%
Karimnagar,Telangana,31768,26025,24907,78.4%
Khammam,Telangana,41234,33203,31456,76.3%
Komaram Bheem,Telangana,16317,13100,12460,76.4%
Mahabubabad,Telangana,25521,19986,18875,74.0%
Mahabubnagar,Telangana,31181,25530,24229,77.7%
Mancherial,Telangana,25719,21189,20298,78.9%
Medak,Telangana,21869,17381,16440,75.2%
Medchal-Malkajgiri,Telangana,27308,21154,19626,71.9%
Mulugu,Telangana,8667,6697,6259,72.2%
Nagarkurnool,Telangana,29314,23790,22791,77.7%
Nalgonda,Telangana,53905,44335,42474,78.8%
Narayanpet,Telangana,17623,14387,13731,77.9%
Nirmal,Telangana,21164,16923,16019,75.7%
Nizamabad,Telangana,50466,40660,38588,76.5%
Peddapalli,Telangana,22011,18227,17586,79.9%
Rajanna,Telangana,23589,19225,18424,78.1%
Rangareddy,Telangana,55818,45206,43021,77.1%
Sangareddy,Telangana,37272,29448,27539,73.9%
Siddipet,Telangana,37965,31521,30128,79.4%
Suryapet,Telangana,31113,24961,23651,76.0%
Vikarabad,Telangana,28153,22345,20998,74.6%
Wanaparthy,Telangana,18920,15977,15397,81.4%
Warangal Rural,Telangana,24367,19696,18542,76.1%
Warangal Urban,Telangana,26981,21885,20791,77.1%
Yadadri,Telangana,24805,19800,18815,75.9%
Dhalai,Tripura,567,344,164,28.9%
Gomati,Tripura,380,274,158,41.6%
Khowai,Tripura,731,583,369,50.5%
North Tripura,Tripura,661,525,396,59.9%
Sepahijala,Tripura,269,180,14,5.2%
South Tripura,Tripura,410,277,137,33.4%
Unakoti,Tripura,374,235,116,31.0%
West Tripura,Tripura,2822,2144,1371,48.6%
Agra,Uttar Pradesh,4366,3376,2833,64.9%
Aligarh,Uttar Pradesh,2365,1858,1497,63.3%
Ambedkar Nagar,Uttar Pradesh,598,404,318,53.2%
Amethi,Uttar Pradesh,932,723,572,61.4%
Amroha,Uttar Pradesh,409,321,238,58.2%
Auraiya,Uttar Pradesh,639,479,359,56.2%
Ayodhaya,Uttar Pradesh,860,639,511,59.4%
Azamgarh,Uttar Pradesh,1436,1132,940,65.5%
Badhaun,Uttar Pradesh,458,350,268,58.5%
Baghpat,Uttar Pradesh,715,521,447,62.5%
Ballia,Uttar Pradesh,943,727,522,55.4%
Balrampur,Uttar Pradesh,15806,11856,10204,64.6%
Banda,Uttar Pradesh,286,227,182,63.6%
Barabanki,Uttar Pradesh,940,732,579,61.6%
Bareilly,Uttar Pradesh,4638,3458,2690,58.0%
Basti,Uttar Pradesh,950,751,665,70.0%
Behraich,Uttar Pradesh,526,390,313,59.5%
Bijnor,Uttar Pradesh,1001,672,487,48.7%
Bulandshahar,Uttar Pradesh,1703,1194,903,53.0%
Chandauli,Uttar Pradesh,1128,899,749,66.4%
Chitrakoot,Uttar Pradesh,595,481,437,73.4%
Deoria,Uttar Pradesh,1086,834,685,63.1%
Etah,Uttar Pradesh,595,454,378,63.5%
Etawah,Uttar Pradesh,1383,1089,917,66.3%
Farrukhabad,Uttar Pradesh,1048,805,649,61.9%
Fatehpur,Uttar Pradesh,484,362,314,64.9%
Firozabad,Uttar Pradesh,1108,777,617,55.7%
Gautam Budh Nagar,Uttar Pradesh,7478,5064,4072,54.5%
Ghaziabad,Uttar Pradesh,9029,6639,5486,60.8%
Ghazipur,Uttar Pradesh,1087,822,631,58.0%
Gonda,Uttar Pradesh,1651,1409,1279,77.5%
Gorakhpur,Uttar Pradesh,4636,3757,2965,64.0%
Hapur,Uttar Pradesh,854,641,504,59.0%
Hardoi,Uttar Pradesh,601,421,350,58.2%
Hathras,Uttar Pradesh,806,626,451,56.0%
Jalaun,Uttar Pradesh,263,182,144,54.8%
Jaunpur,Uttar Pradesh,1149,809,601,52.3%
Jhansi,Uttar Pradesh,3774,3004,2669,70.7%
Kannauj,Uttar Pradesh,404,265,201,49.8%
Kanpur Dehat,Uttar Pradesh,902,688,570,63.2%
Kanpur Nagar,Uttar Pradesh,9207,7061,5752,62.5%
Kasganj,Uttar Pradesh,116,86,74,63.8%
Kaushambi,Uttar Pradesh,316,227,186,58.9%
Kushinagar,Uttar Pradesh,670,472,304,45.4%
Lakhimpur Kheri,Uttar Pradesh,790,576,439,55.6%
Lalitpur,Uttar Pradesh,1121,883,770,68.7%
Lucknow,Uttar Pradesh,18249,13461,10705,58.7%
Maharajganj,Uttar Pradesh,537,452,365,68.0%
Mahoba,Uttar Pradesh,396,315,257,64.9%
Mainpuri,Uttar Pradesh,767,568,508,66.2%
Mathura,Uttar Pradesh,2439,1868,1620,66.4%
Mau,Uttar Pradesh,1160,892,732,63.1%
Meerut,Uttar Pradesh,4376,3222,2425,55.4%
Mirzapur,Uttar Pradesh,662,521,428,64.7%
Moradabad,Uttar Pradesh,2286,1661,1289,56.4%
Muzaffarnagar,Uttar Pradesh,1650,1212,979,59.3%
Pilibhit,Uttar Pradesh,603,436,376,62.4%
Pratapgarh,Uttar Pradesh,22507,16201,12520,55.6%
Prayagraj(Allahabad),Uttar Pradesh,8223,6638,5828,70.9%
Raebareli,Uttar Pradesh,1955,1567,1360,69.6%
Rampur,Uttar Pradesh,1025,794,628,61.3%
Saharanpur,Uttar Pradesh,1302,914,533,40.9%
Sambhal,Uttar Pradesh,302,263,238,78.8%
Sant Kabir Nagar,Uttar Pradesh,255,176,137,53.7%
Sant Ravidas Nagar,Uttar Pradesh,588,420,309,52.6%
Shahjahanpur,Uttar Pradesh,2117,1654,1457,68.8%
Shamli,Uttar Pradesh,116,75,33,28.4%
Shravasti,Uttar Pradesh,437,337,282,64.5%
Sidharthnagar,Uttar Pradesh,413,339,238,57.6%
Sitapur,Uttar Pradesh,1720,1276,983,57.2%
Sonbhadra,Uttar Pradesh,1520,1201,1123,73.9%
Sultanpur,Uttar Pradesh,943,766,617,65.4%
Unnao,Uttar Pradesh,1146,865,730,63.7%
Varanasi,Uttar Pradesh,6671,5012,4299,64.4%
Almora,Uttaranchal,43880,39715,38197,87.0%
Bageshwar,Uttaranchal,12731,11310,10950,86.0%
Chamoli,Uttaranchal,27577,23647,22214,80.6%
Champawat,Uttaranchal,14183,12720,12290,86.7%
Dehradun,Uttaranchal,49339,40418,36577,74.1%
Garhwal,Uttaranchal,42704,35340,32557,76.2%
Hardwar,Uttaranchal,21948,18386,17090,77.9%
Nainital,Uttaranchal,37427,31015,28674,76.6%
Pithoragarh,Uttaranchal,24001,20695,19506,81.3%
Rudraprayag,Uttaranchal,17285,15293,14549,84.2%
Tehri Garhwal,Uttaranchal,46359,40863,38798,83.7%
Udham Singh Nagar,Uttaranchal,24836,22322,21401,86.2%
Uttarkashi,Uttaranchal,19416,16955,15917,82.0%
Alipurduar,West Bengal,1615,1242,946,58.6%
Bankura,West Bengal,413,307,228,55.2%
Birbhum,West Bengal,852,706,595,69.8%
Dakshin Dinajpur,West Bengal,498,393,298,59.8%
Darjiling,West Bengal,7075,5334,4021,56.8%
Howrah,West Bengal,3811,2894,2057,54.0%
Hugli,West Bengal,4598,3374,2406,52.3%
Jalpaiguri,West Bengal,2351,1691,1308,55.6%
Jhargram,West Bengal,35,20,19,54.3%
Kalimpong,West Bengal,1537,1151,797,51.9%
Koch Bihar,West Bengal,884,766,610,69.0%
Kolkata,West Bengal,27045,20843,15910,58.8%
Maldah,West Bengal,691,508,315,45.6%
Murshidabad,West Bengal,1765,1342,928,52.6%
Nadia,West Bengal,1601,1179,863,53.9%
North Twenty Four Pargana,West Bengal,11399,9012,7472,65.5%
Paschim Burdwan (West Bardhaman),West Bengal,5465,4218,3302,60.4%
Paschim Medinipur,West Bengal,3591,2818,2410,67.1%
Purba Burdwan (East Bardhaman),West Bengal,3452,2641,1931,55.9%
Purba Medinipur,West Bengal,1262,880,563,44.6%
Puruliya,West Bengal,1104,915,802,72.6%
South Twenty Four Pargan,West Bengal,3012,2263,1734,57.6%
Uttar Dinajpur,West Bengal,773,555,407,52.7%
